"module name","license","repository"
"@babel/runtime@7.11.2","MIT","https://github.com/babel/babel"
"@jest/types@24.9.0","MIT","https://github.com/facebook/jest"
"@monaco-editor/react@3.6.3","MIT","https://github.com/suren-atoyan/monaco-react"
"@types/ace@0.0.44","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cheerio@0.22.22","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/enzyme-adapter-react-16@1.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/enzyme@3.10.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@1.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@24.9.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash.throttle@4.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.162","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.11.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@16.9.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.9.52","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@15.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@13.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"act-ui@1.0.18","UNLICENSED",""
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"core-js@3.6.5","MIT","https://github.com/zloirock/core-js"
"cross-env@6.0.3","MIT","https://github.com/kentcdodds/cross-env"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.0.3","MIT","https://github.com/frenic/csstype"
"diff-sequences@24.9.0","MIT","https://github.com/facebook/jest"
"dom-walk@0.1.2","MIT","https://github.com/Raynos/dom-walk"
"emojis-list@3.0.0","MIT","https://github.com/kikobeats/emojis-list"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"global@4.4.0","MIT","https://github.com/Raynos/global"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"jest-diff@24.9.0","MIT","https://github.com/facebook/jest"
"jest-get-type@24.9.0","MIT","https://github.com/facebook/jest"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json5@1.0.1","MIT","https://github.com/json5/json5"
"loader-utils@1.4.0","MIT","https://github.com/webpack/loader-utils"
"lodash.throttle@4.1.1","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"min-document@2.19.0","MIT","https://github.com/Raynos/min-document"
"minimist@1.2.5","MIT","https://github.com/substack/minimist"
"mobx-react-lite@1.5.2","MIT","https://github.com/mobxjs/mobx-react-lite"
"mobx@5.15.7","MIT","https://github.com/mobxjs/mobx"
"monaco-editor@0.21.2","MIT","https://github.com/Microsoft/monaco-editor"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"pretty-format@24.9.0","MIT","https://github.com/facebook/jest"
"process@0.11.10","MIT","https://github.com/shtylman/node-process"
"prop-types@15.7.2","MIT","https://github.com/facebook/prop-types"
"react-dom@16.13.1","MIT","https://github.com/facebook/react"
"react-hot-loader@4.13.0","MIT","https://github.com/gaearon/react-hot-loader"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-lifecycles-compat@3.0.4","MIT","https://github.com/reactjs/react-lifecycles-compat"
"react@16.13.1","MIT","https://github.com/facebook/react"
"regenerator-runtime@0.13.7","MIT","https://github.com/facebook/regenerator/tree/master/packages/regenerator-runtime"
"resize-observer-polyfill@1.5.1","MIT","https://github.com/que-etc/resize-observer-polyfill"
"scheduler@0.19.1","MIT","https://github.com/facebook/react"
"setimmediate@1.0.5","MIT","https://github.com/YuzuJS/setImmediate"
"shallowequal@1.1.0","MIT","https://github.com/dashed/shallowequal"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"source-map@0.7.3","BSD-3-Clause","https://github.com/mozilla/source-map"
"state-local@1.0.1","MIT","https://github.com/suren-atoyan/state-local"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"use-resize-observer@6.1.0","MIT","https://github.com/ZeeCoder/use-resize-observer"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"